0,300
1,388
2,433
3,487
4,539
5,600
6,600
7,600
8,688
9,733
10,875
11,972
12,1087
13,1139
14,1200
15,1288
16,1333
17,1563
18,1705
19,1962
20,2111
21,2287
22,2427
23,2533
24,2851
25,3038
26,3525
27,3816
28,4249
29,4538
30,4820
31,5278
32,5571
33,6376
34,6854
35,7774
36,8354
37,9069
38,9816
39,10391
40,11654
41,12425
42,14150
43,15208
44,16843
45,18170
46,19460
47,21470
48,22816
49,25804
50,27633
51,30993
52,33378
53,36303
54,39640
55,42276
56,47274
57,50449
58,56797
59,61011
60,67296
61,73018
62,78579
63,86914
64,92725
65,104071
66,111460
67,124093
68,134029
69,145875
70,159932
71,171304
72,190985
73,204185
74,228164
75,245489
76,269968
77,293961
78,317179
79,350917
80,375489
81,419149
82,449674
83,498132
84,539450
85,587147
86,644878
87,692668
88,770066
89,825163
90,917281
91,989124
92,1085279
93,1184328
94,1279815
95,1414944
96,1517831
97,1687347
98,1814287
99,2002560
100,2173452
101,2365094
102,2599272
103,2797646
104,3102291
105,3332118
106,3689907
107,3987739
108,4367654
109,4772724
110,5162740
111,5701563
112,6129764
113,6792198
114,7319857
115,8057561
116,8760463
117,9530394
118,10474287
119,11292504
120,12493761
121,13449621
122,14849759
123,16080320
124,17587955
125,19234750
126,20822898
127,22968048
128,24742125
129,27343520
130,29529941
131,32437714
132,35315070
133,38410853
134,42202798
135,45565023
136,50311568
137,54272066
138,59781234
139,64845011
140,70848567
141,77517868
142,83975876
143,92514366
144,99837089
145,110092802
146,119117077
147,130629801
148,142362879
149,154824443
